,Unnamed: 0,Unnamed: 0.1,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data,imu_new_data
44,44,44,0.5099993,0.9251565,-0.5191048,-9.76746,-0.013248319,-0.0028348435,-0.0024008844,-14.391508,19.456753,43.216537,1,-0.5542470122901917,-0.6049563622901917,-0.9021970082901916,-0.0176076222616104,-0.0206893042616104,-0.0917650042616105,0,1.0
45,45,45,0.5199995,0.9251568,-0.5191048,-9.76746,-0.0048805047,-0.0041987617,0.0034371426,-14.456182,19.58462,43.14105,1,-0.4055208344719816,-0.4562575174719816,-0.7541378074719816,0.1147776778891555,0.1117847898891555,0.0407022778891555,0,1.0
46,46,46,0.52999973,0.9251758,-0.51912355,-9.76748,-0.0060148765,0.0015913468,0.0075372052,-14.456182,19.58462,43.14105,0,-0.4771843850468651,-0.527956173046865,-0.8266894930468651,0.0744278869490189,0.0715743219490189,0.0004789449490189,0,1.0
47,47,47,0.53999996,0.9251568,-0.51910484,-9.767462,-0.0073112673,-0.0014582817,0.00858932,-14.391508,19.456753,43.216537,1,0.0698431513685998,0.0190462123685998,-0.2803269776314002,-0.3433836260812231,-0.3461169410812231,-0.4172267880812231,0,1.0
48,48,48,0.54999924,0.9251568,-0.5191048,-9.767462,0.015196752,-0.0035030257,0.008040857,-14.517988,19.45773,43.140133,1,0.195286781371629,0.144465821371629,-0.155547398628371,-0.1647029462248444,-0.1673056722248444,-0.2384329682248444,0,1.0
49,49,49,0.55999947,0.8685899,-0.51914227,-9.748519,0.004673064,0.0075639593,0.0061766785,-14.329895,19.45639,43.14338,1,-0.1949709784068287,-0.2458218104068287,-0.5466890304068288,-0.0494056130944851,-0.0517161690944851,-0.1229941290944851,0,1.0
50,50,50,0.5699997,0.86672956,-0.51910484,-9.747869,0.016244452,0.0055675944,0.0025660493,-14.329895,19.45639,43.14338,0,-0.2419919820900919,-0.292862067090092,-0.594371913090092,0.0850393902149742,0.0830691702149742,0.0115452602149742,0,1.0
51,51,51,0.5789995,0.8667259,-0.5191048,-9.747867,0.02056065,-0.0013948958,-0.0014796718,-14.391954,19.52042,43.216454,1,-0.1439820014891696,-0.1948683084891696,-0.4970230184891696,0.0385537837579949,0.0369155117579948,-0.0348545482420051,0,1.0
52,52,52,0.58899975,0.8667259,-0.5191048,-9.747867,0.022111027,-0.0018543972,-0.008227085,-14.391954,19.52042,43.216454,1,-0.1911618294348276,-0.2420614264348276,-0.5448631964348276,-0.067522395088921,-0.068843387088921,-0.140853681088921,0,0.0
53,53,53,0.599,0.88619834,-0.53832924,-9.747867,0.038075898,-0.0008520097,-0.013613314,-14.33098,19.456474,43.069134,1,-0.2524540346261291,-0.3090691026261291,-0.6059483526261291,-0.0764505304125214,-0.1106621654125214,-0.1785092174125214,1,1.0
